question,answer
What is tuition cost for the program?,"Tuition for the MS in Applied Data Science program: $5,967 per course/$71,604 total tuition"
What scholarships are available for the program?,"The Data Science Institute Scholarship, MS in Applied Data Science Alumni Scholarship"
What are the minimum scores for the TOEFL and IELTS English Language Requirement?,"Minimum scores for the Master’s in Applied Data Science program: TOEFL, 102 (no subscore requirement); IELTS, 7 (no subscore requirement)."
Is there an application fee waiver?,"For questions regarding an application fee waiver, please refer to the Physical Sciences Division fee waiver policy."
What are the deadlines for the in-person program?,"November 7, 2024 - Priority Application Deadline
December 4, 2024 - Scholarship Priority Deadline
January 21, 2025 - International Application Deadline (requiring visa sponsorship from UChicago)
March 4, 2025 - Second Priority Application Deadline
May 6, 2025 - Third Priority Application Deadline
June 23, 2025 - Final Application Deadline"
How long will it take for me to receive a decision on my application?,In-Person application decisions are released approximately 1 to 2 months after each respected deadline. Online application decisions are released on a rolling basis
Can I set up an advising appointment with the enrollment management team?,"Yes, meet your admissions counselor by scheduling an appointment https://apply-psd.uchicago.edu/portal/applied-data-science"
Where can I mail my official transcripts?,"The University of Chicago
Attention: MS in Applied Data Science Admissions
455 N Cityfront Plaza Dr., Suite 950
Chicago, Illinois 60611"
Does the Master’s in Applied Data Science Online program provide visa sponsorship?,"Only our In-Person, Full-Time program is Visa eligible"
How do I apply to the MBA/MS program?,"Applicants interested in the Joint MBA/MS degree will apply through Booth’s centralized, joint-application process. Applicants should complete the Chicago Booth Full-Time MBA application and select the MBA/MS in Applied Data Science as their program of interest"
Is the MS in Applied Data Science program STEM/OPT eligible?,The MS in Applied Data Science program is STEM/OPT eligible
How many courses must you complete to earn UChicago’s Master’s in Applied Data Science?,"To earn the MS-ADS degree students must successfully complete 12 courses (6 core, 4 elective, 2 Capstone) and our tailored Career Seminar"
What programs options are available in the MS Applied Data Science program?,"In-person program, Online progran and Joint MBA/MS program"
How many letters of recommendation do you need for the program?,The MS in Applied Data Science program requires two letters of recommendation
Who should write my letters of recommendation?,"We strongly recommend that at least one letter is written by someone such as a direct manager/supervisor or internship supervisor who can attest to skills you demonstrated or gained though a professional workplace experience (e.g., leadership, teamwork, collaboration, initiative, management, other)."
Does the MS in Applied Data Science provide scholarships?,The MS in Applied Data Science program offers partial tuition scholarships to top applicants. These scholarships do not require a separate application but it is recommended that candidates submit their applications ahead of the early deadline to maximize their chances of securing a scholarship.
Where is the campus located?,Our campus is strategically situated at the NBC Tower and Gleacher Center in downtown Chicago’s Streeterville neighborhood
Where is the Data Science Institute located?,Located within Hyde Park campus
How many classess should I take per quarter?,Full-time students take 3 classes per quarter (300 units). Part-time students take 2 classes per quarter (200 units)
When are classes held for part-time students?,Most courses are from 6-9pm Monday through Thursday with some offered on Fridays and Saturdays. This allows you to work in an internship and/or job during the program
What are the four foundational courses?,"Introduction to Statistical Concepts (Foundational, optional), R for Data Science (Foundational, optional), Python for Data Science (Foundational, optional), Advanced Linear Algebra for Machine Learning (Foundational, optional)"
Is there an application fee?,There is a $90 non-refundable application fee
What is the purpose of the capstone projects in the MS in Applied Data Science program?,"Capstone projects allow students to address real-world challenges across industries, showcasing practical and impactful data science solutions. Outstanding projects are recognized with awards such as 'Best in Show'."
What does the MBA + Applied Data Science dual degree offer?,"The dual degree equips students to lead in data-centric environments by bridging technical and managerial domains, making them effective decision-makers who understand both business and data science."
What is the structure of the capstone experience in the MS in Applied Data Science program?,"The capstone is a project-based course where students work in teams to solve real-world problems for clients from industry, academia, and social impact organizations, applying data science in a practical setting."
What kind of interdisciplinary skills are emphasized in the MS in Applied Data Science curriculum?,"The curriculum emphasizes a combination of computational and analytical skills, domain knowledge, communication, and ethics, preparing students for broad application of data science in various sectors."
What types of real-world experiences do students gain during the MS in Applied Data Science program?,"Students gain hands-on experience through capstone projects, industry collaborations, and events such as company site visits, helping them build practical skills that are directly applicable to the workforce."
How does the MS in Applied Data Science program prepare students for ethical challenges in data science?,Ethics is integrated into the curriculum alongside technical skills to ensure graduates are equipped to consider the social impact of data science solutions and apply responsible practices in real-world contexts.
